,x,y,latitude,longitude,altitude,stopped,time,speed_prev,dir_prev,speed_next,dir_next
1498,343323.0700309833,5091737.706919338,45.96132,12.97799,,0.0,2016-08-06 20:40:02,5.173672597126351,-0.22964002381942739,5.88469286196104,-0.24707501093698428
1499,345051.9838180107,5091301.625517732,45.95779,13.00043,,0.0,2016-08-06 20:45:05,5.88469286196104,-0.24707501093698428,6.225991635646368,-0.23755686044125962
1500,346879.4280198602,5090859.148655656,45.95422,13.02414,,0.0,2016-08-06 20:50:07,6.225991635646368,-0.23755686044125962,7.076143544966293,-0.23506221472724198
1501,348943.89258744457,5090364.731097922,45.95023,13.05092,,0.0,2016-08-06 20:55:07,7.076143544966293,-0.23506221472724198,7.522057253324524,-0.23484912088308132
1502,351131.2488338325,5089841.375096193,45.946,13.07929,,0.0,2016-08-06 21:00:06,7.522057253324524,-0.23484912088308132,7.533547142069741,-0.23553815980075088
1503,353343.5611804822,5089310.436092161,45.9417,13.10798,,0.0,2016-08-06 21:05:08,7.533547142069741,-0.23553815980075088,7.162769392709327,-0.36751699763146084
1504,355348.8981531515,5088538.362579063,45.93518,13.13407,,0.0,2016-08-06 21:10:08,7.162769392709327,-0.36751699763146084,7.198370095994656,-0.3953101265276532
1505,358471.20755824406,5087235.498078715,45.92411,13.17471,,0.0,2016-08-06 21:17:58,7.198370095994656,-0.3953101265276532,6.938613532866835,-0.3927888818084944
1506,359317.35455958615,5086884.923490783,45.92113,13.18572,,0.0,2016-08-06 21:20:10,6.938613532866835,-0.3927888818084944,8.725219883766918,-0.39026109277544246
1507,361770.38179591286,5085875.845822867,45.91255,13.21763,,0.0,2016-08-06 21:25:14,8.725219883766918,-0.39026109277544246,5.3573199578996995,-0.39298618943394914
1508,363255.06062735093,5085260.372257799,45.90731,13.23694,,0.0,2016-08-06 21:30:14,5.3573199578996995,-0.39298618943394914,3.573077437476918,0.27460711940379595
1509,364283.38163340033,5085550.07548466,45.91012,13.25011,,0.0,2016-08-06 21:35:13,3.573077437476918,0.27460711940379595,3.5045831661665745,1.1758264348376968
1510,364687.9301061167,5086520.503131832,45.91893,13.25505,,0.0,2016-08-06 21:40:13,3.5045831661665745,1.1758264348376968,3.508656968069037,-0.21385269589209124
1511,365723.4070512055,5086295.62498236,45.91711,13.26846,,0.0,2016-08-06 21:45:15,3.508656968069037,-0.21385269589209124,5.838394749423576,-0.2163274536553723
1512,367428.3993379388,5085920.925009592,45.91407,13.29054,,0.0,2016-08-06 21:50:14,5.838394749423576,-0.2163274536553723,5.447689736606511,-0.5722624850846613
1513,368811.48457264656,5085029.989634295,45.90632,13.30861,,0.0,2016-08-06 21:55:16,5.447689736606511,-0.5722624850846613,3.074957935460869,-0.402478242697819
1514,369665.91733543354,5084666.242631085,45.90321,13.31972,,0.0,2016-08-06 22:00:18,3.074957935460869,-0.402478242697819,6.371754839242753,-0.6089595684049306
1515,371228.60828928964,5083576.466781663,45.8937,13.34015,,0.0,2016-08-06 22:05:17,6.371754839242753,-0.6089595684049306,5.929971447530574,-0.16072641688772393
1516,372972.9637379437,5083293.663357847,45.89148,13.3627,,0.0,2016-08-06 22:10:15,5.929971447530574,-0.16072641688772393,5.812253900032937,0.022050221074957608
1517,374727.8377086977,5083332.364989467,45.89215,13.3853,,0.0,2016-08-06 22:15:17,5.812253900032937,0.022050221074957608,6.075718031098092,0.14300847065507172
1518,376549.9873860901,5083594.738911571,45.89484,13.40871,,0.0,2016-08-06 22:20:20,6.075718031098092,0.14300847065507172,6.177288944275432,-0.12199509281348499
1519,378377.1381017498,5083370.723058307,45.89315,13.43231,,0.0,2016-08-06 22:25:18,6.177288944275432,-0.12199509281348499,3.663736429557448,-0.4637166245057773
1520,379360.1878203774,5082879.113388975,45.8889,13.4451,,0.0,2016-08-06 22:30:18,3.663736429557448,-0.4637166245057773,4.659808708075542,-0.20281107601542298
1521,380738.6071295778,5082595.65758721,45.88659,13.46293,,0.0,2016-08-06 22:35:20,4.659808708075542,-0.20281107601542298,2.9839379600778475,-0.7180868353048523
1522,381414.984776775,5082004.714077921,45.88139,13.47179,,0.0,2016-08-06 22:40:21,2.9839379600778475,-0.7180868353048523,4.294902571247895,-0.730492715326699
1523,382368.2986558006,5081150.730509121,45.87387,13.48428,,0.0,2016-08-06 22:45:19,4.294902571247895,-0.730492715326699,6.015852384608941,-1.5897849579380106
1524,382333.23129305494,5079304.196777659,45.85725,13.48428,,0.0,2016-08-06 22:50:26,6.015852384608941,-1.5897849579380106,3.4714145529552902,-1.2564192836311618
1525,382892.4961702797,5077584.231076615,45.84187,13.4919,,0.0,2016-08-06 22:59:07,3.4714145529552902,-1.2564192836311618,9.77543492205115,-0.9794506864200392
1526,384527.37509680405,5075149.586870991,45.82024,13.51353,,0.0,2016-08-06 23:04:07,9.77543492205115,-0.9794506864200392,4.9851525574489255,-0.6547353033012804
1527,385709.70140420145,5074241.911020886,45.81227,13.52896,,0.0,2016-08-06 23:09:06,4.9851525574489255,-0.6547353033012804,2.506551763716144,-0.6982202280345833
1528,386049.539175614,5073956.702001104,45.80976,13.5334,,1.0,2016-08-06 23:12:03,2.506551763716144,-0.6982202280345833,0.051975393251565166,-0.7274575552773438
1529,386057.18646552786,5073949.893242018,45.8097,13.5335,,1.0,2016-08-06 23:15:20,0.051975393251565166,-0.7274575552773438,0.021292484408205144,-2.099229135289944
1530,386053.976623917,5073944.395184309,45.80965,13.53346,,1.0,2016-08-06 23:20:19,0.021292484408205144,-2.099229135289944,4.176364853942083,-0.42736442697954885
1531,388072.17379342206,5073025.237666261,45.80171,13.55964,,0.0,2016-08-06 23:29:10,4.176364853942083,-0.42736442697954885,4.945922435840476,-0.26731948977391096
